Atomic function;Consumption(Frequency) [nA];;;;;;;;;
;10 Hz;20 Hz;50 Hz;100 Hz;500 Hz;1 KHz;5 KHz;10 KHz;50 KHz;100 KHz
Comparator ;150;150;150;150;150;150;150;150;150;900
Operational Amplifier;425;425;425;425;425;425;425;900;5000;5000
ADC;300;300;300;300;300;300;23000;23000;23000;23000
DAC;?;?;?;?;?;?;?;?;?;?
Monostable;?;?;?;?;?;?;?;?;?;?
Flip Flop;?;?;?;?;?;?;?;?;?;?
Analog switch;?;?;?;?;?;?;?;?;?;?
Analog multiplexer;?;?;?;?;?;?;?;?;?;?
Logical Gates;?;?;?;?;?;?;?;?;?;?
Absolute value;?;?;?;?;?;?;?;?;?;?
Square value;?;?;?;?;?;?;?;?;?;?
Multiplier;?;?;?;?;?;?;?;?;?;?
LP - HP Filter;?;?;?;?;?;?;?;?;?;?
BP Filter;?;?;?;?;?;?;?;?;?;?
Goertzel Filter;?;?;?;?;?;?;?;?;?;?
MAC;?;?;?;?;?;?;?;?;?;?
FFT;?;?;?;?;?;?;?;?;?;?
Wavelets;?;?;?;?;?;?;?;?;?;?
Neural Network;?;?;?;?;?;?;?;?;?;?
Simultaneous Multiple MAC;?;?;?;?;?;?;?;?;?;?
