Comparation DAC;;;
Part # ;Resolution Bits;Consumption [ÊW];Update Rate Ksps
DAC161S997;16;100 ÊA;
DACx311;12;80 ÊA @ 2V;
DAC8830;16;15;
DAC8832;16;15;
LTC1662;10;1.5 ÊA;
MAX553X;12;6 ÊA;
MAX5532;12;5 ÊA;
MCP47A1;6;130 ÊA;
LTC2631;10/12/2008;450;9,6
LTC2631A-12;12;450;9,6
AD5662;16;1250;125
AD5063;16;330;333
DAC8043;12;500;366
AD794X;12;25;1700
AD5602/12;08-oct;500;1700
AD5601;8;550;1700
AD5611/21/41;10/12/2014;550;1700
LTC2640;10;450;2000
AD5425;8;2,2;2470
AD5426;8;25;2500
AD5432;10;27,5;2500
AD5443;12;3;2500
DAC8143;12;500;2630
AD54XX;14;2,2;2700
AD5444;12;2,2;2700
AD5450/1/2;08/10/2012;2,2;2700
LTC264X;16;360;3000
AD5441;12;5,5;4000
AD5424/33/45;08/10/2012;2,2;20400
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
