Part#;GBP typ. [KHz];Iq/Amplifier [nA];a;Iq/Ampl(Regr);;;;;
LT600X;2;850;0,47;398,8815522;;;;;
LT149X;2,7;1000;0,53;526,2050998;;;;;
TLV8811;6;425;2,59;1099,700902;;;;;
LPV521;6,2;500;2,27;1133,49584;;;;;
AD850X;7;750;1,69;1267,865437;;;;;
TSU101;8;580;2,47;1434,186166;;;;;
TLV854x;8;500;2,87;1434,186166;;;;;
LPV811;8;425;3,37;1434,186166;;;;;
LPV542;8;490;2,93;1434,186166;;;;;
MCP6441;9;450;3,55;1598,911487;;;;;
MAX44264;9;750;2,13;1598,911487;;;;;
TS94x;10;1200;1,47;1762,23232;;;;;
TSU111;11,5;900;2,23;2004,902875;;;;;
LT167X;12;1500;1,39;2085,23675;;;;;
LTC154X;12;5000;0,42;2085,23675;;;;;
MAX40007;20;700;4,77;3341,519125;;;;;
LTC206X;20;1400;2,39;3341,519125;;;;;
OPX90;20;20000;0,17;3341,519125;;;;y = ax^b;
OPX93;35;30000;0,19;5601,34566;;;;a;210,36
LT6023;40;18000;0,35;6336,139643;;;;b;0,9231
ADA4505;50;9000;0,87;7785,425857;;;;;
LT600X;50;13000;0,60;7785,425857;;;;;
LT217X;60;13000;0,71;9212,43807;;;;;
LT117X;85;12000;1,06;12706,02696;;;;;
OPX95;85;175000;0,07;12706,02696;;;;;
AD8505;95;16500;0,85;14079,90817;;;;;
AD8506;95;20000;0,70;14079,90817;;;;;
LP358;100;54000;0,27;14762,61053;;;;;
LP2904;100;54000;0,27;14762,61053;;;;;
LTC206X;100;7500;1,97;14762,61053;;;;;
OPX81;105;5000;3,09;15442,6918;;;;;
TSV611;120;10000;1,75;17468,49019;;;;;
LT146XL;120;60000;0,29;17468,49019;;;;;
ADA4051;125;13000;1,40;18139,31135;;;;;
TSV711;150;14000;1,53;21464,11583;;;;;
LT146X;175;28000;0,88;24746,37472;;;;;
LT1635;175;130000;0,19;24746,37472;;;;;
LT149XA;180;40000;0,63;25398,33292;;;;;
LT207X;200;35000;0,80;27992,64594;;;;;
LT107X;200;38000;0,74;27992,64594;;;;;
LT1782;200;40000;0,70;27992,64594;;;;;
LT1636;200;42000;0,67;27992,64594;;;;;
LTC1047;200;60000;0,47;27992,64594;;;;;
RH1078M;200;75000;0,37;27992,64594;;;;;
AD865X;230;22000;1,45;31847,41063;;;;;
LT1077;230;48000;0,66;31847,41063;;;;;
AD8609;316;40000;1,07;42699,6493;;;;;
AD860X;316;50000;0,85;42699,6493;;;;;
LT601X;330;135000;0,33;44443,00133;;;;;
AD8613;350;38000;1,23;46923,71344;;;;;
AD861X;400;38000;1,40;53079,2454;;;;;
LT6020;400;90000;0,59;53079,2454;;;;;
AD8538;430;180000;0,32;56743,73171;;;;;
TSV6191;450;10000;5,92;59175,73129;;;;;
OPX96;450;60000;0,99;59175,73129;;;;;
LTC2055;500;130000;0,50;65220,23708;;;;;
LTC2054;500;140000;0,47;65220,23708;;;;;
LTC2055HV;500;150000;0,43;65220,23708;;;;;
LTC2054HV;500;175000;0,37;65220,23708;;;;;
MP8103;600;14000;5,51;77174,63451;;;;;
LTC607X;750;54000;1,76;94827,04436;;;;;
ADA4096;786;60000;1,65;99021,09268;;;;;
AD854X;1000;65000;1,90;123669,6587;;;;;
LT146X;1000;145000;0,85;123669,6587;;;;;
AD648;1000;170000;0,73;123669,6587;;;;;
LT1637;1000;190000;0,65;123669,6587;;;;;
LT1639;1075;170000;0,78;132207,5677;;;;;
LT1638;1200;170000;0,86;146337,4121;;;;;
ADA4091;1270;165000;0,93;154200,0012;;;;;
LTC626X;1300;20000;7,88;157559,3827;;;;;
ADA4092;1400;165000;1,02;168715,0993;;;;;
LTC608X;1500;110000;1,63;179809,6532;;;;;
LT601X;1600;145000;1,32;190847,4309;;;;;
ADA4691;3600;165000;2,45;403446,545;;;;;
LTC625X;6500;60000;11,60;696086,9337;;;;;
